"Owners","Location","Connection String"
"-~-","North America","-~-"
"jrwr","us-west","tcp://us-west-1.jrwr.mesh.defcon.fun:31337"
"jrwr","us-west","tcp://us-west-2.jrwr.mesh.defcon.fun:31337"
"jrwr","us-west","tcp://us-west-3.jrwr.mesh.defcon.fun:31337"
"jrwr","us-east","tcp://us-east.jrwr.mesh.defcon.fun:31337" 

"-~-","Europe","-~-"
"jrwr","eu-de","tcp://eu-de.jrwr.mesh.defcon.fun:31337"

"-~-","Middle East","-~-"

"-~-","Africa","-~-"

"-~-","Asia","-~-"

"-~-","Central America","-~-"

"-~-","South America","-~-"

"-~-","Oceania","-~-"

"-~-","Other","-~-"
"jrwr","Tor Hidden Service","socks://localhost:9050/gvu3i5w5rgabp4ftbauamcyzjhpqamxudst2ooadomgwhsn3tojhk5id.onion:5050"






